Gene ID,FC pC vs H,FC pC vs HpC,FC HpC vs H,Gene Symbol,,pC1,pC2,pC3,H1,H2,H3,HpC1,HpC2,HpC3,HpC4
16669,1262.5376,-1.4335827,1809.9528,Krt19,,0.02225113,-0.02225113,0.1239233,-10.30084,-10.138807,-10.342762,-0.14786625,0.40455818,1.1596651,0.82737446
216350,464.45746,-1.4707608,683.1057,Tspan8,,0.18825626,-0.44567394,0.119381905,-9.335426,-7.588431,-9.792386,-0.11938095,0.35383224,1.2029963,0.6047554
20348,412.88663,-1.4564288,601.3398,Sema3c,,0.07015228,-0.20889091,-0.07015324,-7.963221,-7.894297,-10.42018,0.23047161,0.17005825,0.7937288,0.6969595
232431,172.0116,-3.331067,572.98193,Gprc5a,,0.017772675,-0.01777172,-0.4012127,-7.3278894,-9.304525,-6.047883,0.8195677,1.4848995,2.0332756,2.0712461
20753,41.42044,-12.121032,502.05865,Sprr1a,,-0.24218082,-0.95585823,0.24217987,-7.325806,-4.7714553,-4.9754105,1.8584881,3.518219,4.22791,3.5186663
17075,459.019,1.0084031,455.19394,Epcam,,0.11414242,0.07299709,-0.04480934,-9.400334,-8.975267,-8.009296,-0.45169544,0.04480934,0.39432907,0.15404129
14283,140.41312,-3.1439302,441.4491,Fosl1,,-1.2061691,0.23956966,0.19835377,-6.4556837,-8.388956,-7.3242083,-0.19835281,2.1249657,1.90942,1.7499161
70008,248.14268,-1.7143415,425.4012,Ace2,,-0.10402107,0.104022026,-0.16847706,-8.129625,-7.38263,-8.521299,0.48177814,0.49994087,1.2062712,0.6979933
21825,117.098335,-3.54645,415.28336,Thbs1,,0.05201149,-0.95552826,-0.052012444,-7.435027,-7.2729936,-6.8622384,0.42941093,1.1623068,2.4350252,2.0047207
207920,392.60214,-1.0412407,408.7934,Esrp1,,0.80196476,0.58985615,0.09615421,-8.699709,-9.091383,-6.571706,-0.3765154,2.439227,0.25062466,-0.09615517
15937,455.45218,1.1186395,407.14835,Ier3,,0.10869503,0.09760761,0.20697021,-9.123411,-8.376415,-8.580371,-0.60511684,-0.09760666,0.49037552,0.11639786
18793,270.35596,-1.4062691,380.19324,Plaur,,-0.3658638,0.28789043,0.61562157,-8.954335,-7.7923017,-6.9518623,-0.28788948,0.58943176,1.1938,1.1890125
