Gene ID,Score(d),Fold Change,q-value(%),Direction
Fmo2,1.70,20.42,0.00,Up
Spp1,1.59,16.50,0.00,Up
3110032G18rik,1.59,16.12,0.00,Up
1700011H14rik,1.65,15.91,0.00,Up
Ntrk2,1.46,15.54,0.00,Up
S100b,1.53,14.40,0.00,Up
Serpina6,1.37,13.98,0.00,Up
Sftpd,1.22,13.35,0.00,Up
Lrrc4,1.33,11.14,0.00,Up
Rgma,1.25,10.97,0.00,Up
Au040377,1.48,10.94,0.00,Up
Nrarp,1.31,10.92,0.00,Up
Xist,0.83,10.68,0.00,Up
Fjx1,1.45,10.44,0.00,Up
Enah,1.43,10.28,0.00,Up
Ddit4l,1.36,9.77,0.00,Up
Tnrc9,1.26,9.37,0.00,Up
Bc030476,1.42,9.34,0.00,Up
Cldn6,1.34,9.29,0.00,Up
Ddr1,1.33,9.25,0.00,Up
2810003C17rik,1.16,8.52,0.00,Up
Hey1,1.30,8.51,0.00,Up
Cldn7,1.24,8.10,0.00,Up
Cys1,1.29,8.04,0.00,Up
Rhov,1.27,7.49,0.00,Up
Clic6,1.21,7.43,0.00,Up
Heyl,1.12,7.15,0.00,Up
Bc016235,0.93,7.00,0.00,Up
E430002g05rik,1.17,6.64,0.00,Up
5330439J01rik,1.04,6.54,0.00,Up
Arl7,1.16,6.48,0.00,Up
Vipr2,1.10,6.23,0.00,Up
2900075A18rik,1.02,6.20,0.00,Up
Bicc1,1.08,6.14,0.00,Up
Dab1,1.05,6.11,0.00,Up
Mgi:2149712,1.06,6.10,0.00,Up
Plod2,0.93,6.09,0.00,Up
Entpd2,0.96,5.79,0.00,Up
Fabp3,1.10,5.78,0.00,Up
Cst8,0.97,5.75,0.00,Up
A230106n23,1.00,5.75,0.00,Up
3110079O15rik,0.98,5.64,0.00,Up
4921521F21rik,0.93,5.61,0.00,Up
1500009L16rik,1.07,5.51,0.00,Up
Slco3a1,1.08,5.45,0.00,Up
Trim47,1.00,5.33,0.00,Up
Sdccag8,1.09,5.27,0.00,Up
Styk1,0.98,5.25,0.00,Up
6430514L14rik,0.84,5.18,0.00,Up
Atp4a,0.91,5.12,0.00,Up
Lmcd1,0.99,5.07,0.00,Up
Marveld3,0.90,4.96,0.00,Up
Mfi2,0.83,4.91,0.00,Up
D7rp2e,0.86,4.83,0.00,Up
9130017N09rik,0.97,4.82,0.00,Up
Inhbb,0.86,4.80,0.00,Up
Vill,1.00,4.74,0.00,Up
Calr4,0.91,4.71,0.00,Up
Tnfrsf12a,0.89,4.59,0.00,Up
Cited1,0.98,4.55,0.00,Up
Pdgfa,0.96,4.49,0.00,Up
U46068,0.83,4.47,0.00,Up
Zfp339,0.95,4.38,0.00,Up
0610006O14rik,0.91,4.36,0.00,Up
Fgfrl1,0.93,4.35,0.00,Up
Ccdc13,0.81,4.32,0.00,Up
Slc13a4,0.87,4.26,0.00,Up
Steap,0.89,4.22,0.00,Up
Efna4,0.89,4.21,0.00,Up
A030007d23rik,0.81,4.17,0.00,Up
Rgnef,0.87,4.16,0.00,Up
Oact1,0.91,4.16,0.00,Up
Adra2a,0.80,4.07,0.00,Up
Gpt2,0.81,4.02,0.00,Up
Sox4,0.85,3.97,0.00,Up
Epb4.1L4a,0.80,3.96,0.00,Up
Ptpn13,0.81,3.92,0.00,Up
Tekt1,0.88,3.92,0.00,Up
Aldh1b1,0.82,3.90,0.00,Up
Has3,0.80,3.84,0.00,Up
Krt2-8,0.87,3.82,0.00,Up
Kcne3,0.69,3.81,0.54,Up
March9,0.81,3.77,0.00,Up
Gprc5b,0.80,3.74,0.00,Up
Gpx3,0.75,3.62,0.54,Up
4921511K06rik,0.78,3.61,0.54,Up
Lrrn1,0.67,3.61,0.88,Up
Sulf2,0.65,3.60,0.88,Up
Igfbpl1,0.63,3.58,1.21,Up
Klc3,0.77,3.58,0.54,Up
Fer1l3,0.68,3.56,0.54,Up
Bspry,0.75,3.56,0.54,Up
Smarcd3,0.76,3.55,0.54,Up
Tgm2,0.76,3.54,0.54,Up
Lama1,0.77,3.53,0.54,Up
Fndc5,0.79,3.52,0.00,Up
Spink1,0.71,3.51,0.54,Up
Fads3,0.78,3.45,0.54,Up
Tmem45a,0.67,3.44,0.54,Up
Pappa,0.72,3.44,0.54,Up
Kifc3,0.73,3.41,0.54,Up
Ctgf,0.66,3.40,0.88,Up
Catna2,0.64,3.39,0.88,Up
Sestd1,0.77,3.38,0.54,Up
Vil1,0.73,3.34,0.54,Up
Cdh6,0.67,3.31,0.88,Up
Foxc1,0.67,3.29,0.88,Up
Cyr61,0.62,3.28,1.21,Up
Zfp184,0.75,3.25,0.54,Up
Bdnf,0.72,3.25,0.54,Up
Reg1,0.66,3.25,0.88,Up
Phldb1,0.70,3.24,0.54,Up
Jun,0.66,3.24,0.88,Up
Asb9,0.70,3.23,0.54,Up
Plekhb1,0.72,3.22,0.54,Up
Cx3cl1,0.71,3.21,0.54,Up
Mfge8,0.73,3.19,0.54,Up
Adam5,0.70,3.17,0.54,Up
Lrfn4,0.71,3.15,0.54,Up
Mgi:1913996,0.70,3.14,0.54,Up
Kctd15,0.72,3.13,0.54,Up
Wisp1,0.65,3.13,0.88,Up
Plekhh1,0.73,3.12,0.54,Up
Slc35e4,0.72,3.12,0.54,Up
Hey2,0.72,3.11,0.54,Up
Odz4,0.66,3.11,0.88,Up
Elf3,0.61,3.11,1.21,Up
2010107G23rik,0.70,3.11,0.54,Up
Sds,0.57,3.09,1.40,Up
Sstr2,0.67,3.09,0.88,Up
Unc5b,0.57,3.08,1.40,Up
Sox9,0.74,3.08,0.54,Up
Hes1,0.69,3.07,0.54,Up
Chrnb1,0.70,3.06,0.54,Up
A030011m19,0.56,3.06,2.19,Up
Tacc2,0.66,3.05,0.88,Up
4930583H14rik,0.45,3.04,3.97,Up
Cxcl1,0.48,3.04,3.23,Up
Mas1,0.69,3.02,0.54,Up
C430010p07rik,0.71,3.02,0.54,Up
Fbln1,0.67,2.99,0.54,Up
9430023B20rik,0.67,2.98,0.54,Up
Mansc1,0.67,2.98,0.88,Up
Krt1-19,0.61,2.95,1.21,Up
Cacna1h,0.62,2.94,1.21,Up
Dtx1,0.59,2.91,1.40,Up
2310026E23rik,0.67,2.90,0.54,Up
Hrmt1l1,0.68,2.90,0.54,Up
Eppb9,0.66,2.90,0.88,Up
Snx7,0.65,2.90,0.88,Up
Fras1,0.59,2.89,1.40,Up
Gprasp2,0.67,2.89,0.88,Up
Prdm16,0.66,2.89,0.88,Up
F3,0.59,2.87,1.40,Up
2700082O15rik,0.66,2.87,0.88,Up
4732473B16rik,0.59,2.87,1.40,Up
Rtn1,0.59,2.85,1.40,Up
Sh3bgr,0.62,2.85,1.21,Up
Fath,0.62,2.84,1.21,Up
Ccl2,0.44,2.83,3.97,Up
Tspan3,0.68,2.83,0.54,Up
Celsr1,0.59,2.82,1.40,Up
Ch25h,0.45,2.81,3.97,Up
Stk39,0.65,2.79,0.88,Up
5330417C22rik,0.57,2.78,1.40,Up
Bc035537,0.58,2.78,1.40,Up
Adpn,0.52,2.78,2.65,Up
1810054O13rik,0.55,2.78,2.19,Up
Scd2,0.50,2.78,3.23,Up
Etv4,0.62,2.76,1.21,Up
6430573F11rik,0.60,2.75,1.40,Up
Gpm6b,0.65,2.74,0.88,Up
1700027N10rik,0.62,2.74,1.21,Up
H2afy2,0.60,2.74,1.21,Up
Cacnb3,0.61,2.74,1.21,Up
Myh14,0.58,2.73,1.40,Up
Clcn5,0.63,2.71,1.21,Up
Lamc2,0.57,2.69,1.40,Up
Crybb3,0.61,2.67,1.21,Up
A230098a12rik,0.60,2.65,1.40,Up
Fgfr1,0.62,2.65,1.21,Up
Sort1,0.64,2.65,0.88,Up
Kif3c,0.62,2.63,1.21,Up
Lzts2,0.62,2.62,1.21,Up
Mdfi,0.59,2.60,1.40,Up
Hunk,0.55,2.59,2.19,Up
Olfm3,0.55,2.59,2.19,Up
Igf2bp1,0.56,2.59,2.19,Up
Plxnb1,0.56,2.58,2.19,Up
Lama5,0.59,2.58,1.40,Up
Derl3,0.43,2.57,4.85,Up
Bmp7,0.55,2.57,2.19,Up
Cxadr,0.55,2.56,2.19,Up
Spire2,0.61,2.55,1.21,Up
Pfn2,0.58,2.55,1.40,Up
Serpinh1,0.58,2.55,1.40,Up
Smoc1,0.58,2.55,1.40,Up
Tpd52,0.59,2.55,1.40,Up
Lrrc1,0.57,2.54,1.40,Up
Slc6a8,0.54,2.53,2.19,Up
Cbx1,0.53,2.53,2.19,Up
3110023G01rik,0.59,2.53,1.40,Up
Cxcl2,0.46,2.53,3.97,Up
Aplp1,0.60,2.53,1.40,Up
Bambi,0.60,2.52,1.40,Up
Stxbp6,0.57,2.52,1.40,Up
Sct,0.56,2.49,2.19,Up
Frk,0.59,2.49,1.40,Up
9230117N10rik,0.55,2.46,2.19,Up
C630004h02rik,0.57,2.46,1.40,Up
Slc22a2,0.52,2.46,2.65,Up
Pdgfrl,0.56,2.45,2.19,Up
1700003F12rik,0.57,2.45,1.40,Up
Lamc1,0.59,2.45,1.40,Up
Ltbp3,0.53,2.44,2.65,Up
Kif12,0.55,2.44,2.19,Up
Plekha4,0.54,2.42,2.19,Up
Armcx2,0.55,2.42,2.19,Up
Bc023055,0.58,2.41,1.40,Up
5930437A14rik,0.53,2.40,2.65,Up
Mtmr7,0.55,2.40,2.19,Up
Dsp,0.57,2.40,1.40,Up
A330021e22rik,0.45,2.40,3.97,Up
Au040829,0.56,2.38,2.19,Up
Pkhd1,0.52,2.38,2.65,Up
Rtkn,0.55,2.37,2.19,Up
Papss1,0.53,2.37,2.19,Up
Dbp,0.45,2.35,3.97,Up
2410170E21rik,0.48,2.35,3.23,Up
Pgm2l1,0.55,2.34,2.19,Up
4432405B04rik,0.53,2.34,2.19,Up
Fgfr4,0.50,2.34,2.65,Up
Cldn3,0.44,2.34,4.85,Up
Ier3,0.42,2.33,4.85,Up
Mgi:1889209,0.48,2.33,3.23,Up
Krt1-18,0.54,2.33,2.19,Up
Wfdc15,0.48,2.32,3.23,Up
2610024B07rik,0.53,2.32,2.65,Up
Bc038613,0.50,2.32,3.23,Up
1700019E19rik,0.55,2.32,2.19,Up
Rcn1,0.54,2.32,2.19,Up
Alox12p2,0.48,2.31,3.23,Up
Man1a,0.54,2.31,2.19,Up
Ptk7,0.52,2.30,2.65,Up
Mcam,0.49,2.30,3.23,Up
Meg3,0.50,2.30,3.23,Up
Scara3,0.44,2.29,3.97,Up
