probename,Probability,foldchange,Representative.Public.ID,UniGene.ID,Gene.Title,Gene.Symbol,,,,
1448595_a_at,1,230.1867549,NM_009052,Mm.14768,reduced expression 3,Bex1,,,,
1419086_at,1,151.1671857,U49641,Mm.46053,fibroblast growth factor binding protein 1,Fgfbp1,,,,
1449525_at,1,114.6978922,NM_008030,Mm.2900,flavin containing monooxygenase 3,Fmo3,,,,
1415938_at,1,67.39487228,NM_009258,Mm.272,"serine protease inhibitor, Kazal type 3",Spink1,,,,
1450990_at,1,53.770307,AW107802,Mm.22515,glypican 3,Gpc3,,,,
1416953_at,1,48.70869253,NM_010217,Mm.1810,connective tissue growth factor,Ccn2,,,,
1418654_at,1,47.57304909,NM_019545,Mm.281874,hydroxyacid oxidase (glycolate oxidase) 3,Hao2,,,,
1441137_at,1,38.10681348,AV260198,Mm.286834,Bicaudal C homolog 1 (Drosophila),Bicc1,,,,
1423484_at,1,37.85390055,BM217996,Mm.286834,bicaudal C homolog 1 (Drosophila),Bicc1,,,,
1428809_at,1,35.96450876,BI729991,Mm.40679,RIKEN cDNA 1810010H24 gene,1810010H24Rik,,,,
1456226_x_at,1,32.09733783,BB234940,Mm.5021,"discoidin domain receptor family, member 1",Ddr1,,,,
1418374_at,1,31.14927803,NM_008557,Mm.263847,FXYD domain-containing ion transport regulator 3,Fxyd3,,,,
1433924_at,1,31.00421823,BM200248,Mm.7952,Paternally expressed 3,Peg3,,,,
1450883_a_at,1,29.41983049,BB534670,Mm.18628,CD36 antigen,Cd36,,,,
1434909_at,1,28.26926058,BF462770,Mm.34108,Ras-related GTP binding D,Rragd,,,,
1433575_at,1,28.1624989,BG083485,Mm.240627,SRY-box containing gene 4,Sox4,,,,
1453593_at,1,26.11872527,BG066866,Mm.25670,RIKEN cDNA 1700110N18 gene,Vgll3,,,,
1420378_at,1,26.01567597,BC003705,Mm.1321,surfactant associated protein D,Sftpd,,,,
1434897_a_at,1,25.79783741,AV327862,Mm.16228,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",Slc25a4,,,,
1455299_at,1,25.67948238,BB011882,Mm.25670,RIKEN cDNA 1700110N18 gene,1700110N18Rik,,,,
1423166_at,1,24.46008557,BB534670,Mm.18628,CD36 antigen,Cd36,,,,
1420992_at,1,24.09863603,AK009959,Mm.10279,ankyrin repeat domain 1 (cardiac muscle),Ankrd1,,,,
1451258_at,1,23.56877065,AF319173,Mm.46395,prostate stem cell antigen,Psca,,,,
1423556_at,1,23.45595804,AV021656,---,"aldo-keto reductase family 1, member B7",Akr1b7,,,,
1434624_x_at,1,22.20817392,AA762498,Mm.13944,ribosomal protein S9,Rps9,,,,
1420991_at,1,21.49049392,AK009959,Mm.10279,ankyrin repeat domain 1 (cardiac muscle),Ankrd1,,,,
1419758_at,1,21.31574004,M30697,Mm.207354,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",Abcb1a,,,,
1428484_at,1,21.10616524,AK004768,Mm.44153,oxysterol binding protein-like 3,Osbpl3,,,,
1416645_a_at,1,20.41307175,NM_007423,Mm.358570,alpha fetoprotein,Afp,,,,
1434202_a_at,1,20.02548702,BF682848,Mm.256058,cDNA sequence BC055107,BC055107,,,,
1427183_at,1,19.75623898,BC023060,Mm.44176,epidermal growth factor-containing fibulin-like extracellular matrix protein 1,Efemp1,,,,r
1452717_at,1,19.36202329,BM230959,Mm.33574,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24",Slc25a24,,,,
1447845_s_at,1,18.42942508,AV360029,Mm.27154,vanin 1,Vnn1,,,,
1417753_at,1,18.06229425,AF014010,Mm.6442,polycystic kidney disease 2,Pkd2,,,,
1444479_at,1,17.26996787,AW540004,Mm.102618,LOC434420,---,,,,
1419759_at,1,17.26751426,M30697,Mm.207354,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",Abcb1a,,,,
1452217_at,1,16.59146553,BE570050,Mm.203866,AHNAK nucleoprotein (desmoyokin),Ahnak,,,,
1418486_at,1,16.20646479,NM_011704,Mm.27154,vanin 1,Vnn1,,,,
1454959_s_at,1,16.02306605,BQ174580,Mm.254629,"guanine nucleotide binding protein, alpha inhibiting 1",Gnai1,,,,
1430596_s_at,1,16.00319729,BG066866,Mm.25670,RIKEN cDNA 1700110N18 gene,1700110N18Rik,,,,
1434369_a_at,1,15.99474041,AV016515,Mm.178,"crystallin, alpha B",Cryab,,,,
1435459_at,1,15.98861553,BM936480,Mm.10929,flavin containing monooxygenase 2,Fmo2,,,,
1460351_at,1,15.55373353,BC021916,Mm.280038,S100 calcium binding protein A11 (calizzarin),S100a11,,,,
1419314_at,1,15.46627419,BC010745,Mm.23199,tubulointerstitial nephritis antigen,Tinag,,,,
1450138_a_at,1,14.73944044,NM_009254,Mm.252210,"serine (or cysteine) proteinase inhibitor, clade B, member 6a",Serpinb6a,,,,
1450884_at,1,14.62427509,BB534670,Mm.18628,CD36 antigen,Cd36,,,,
1448961_at,1,14.54776393,NM_008880,Mm.10306,phospholipid scramblase 2,Plscr2,,,,
1417355_at,1,14.5438524,AB003040,Mm.7952,paternally expressed 3,Peg3,,,,
1425567_a_at,1,14.20641688,D63423,Mm.1620,annexin A5,Anxa5,,,,
1448194_a_at,1,14.07931823,NM_023123,Mm.14802,H19 fetal liver mRNA,H19,,,,
1441870_s_at,1,14.06935862,BB249222,Mm.6442,polycystic kidney disease 2,Pkd2,,,,
1425895_a_at,1,13.55279332,U43884,Mm.444,inhibitor of DNA binding 1,Id1,,,,
1455069_x_at,1,13.45137601,BF225398,Mm.16228,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",Slc25a4,,,,
1458299_s_at,1,13.32198929,BB820441,Mm.57043,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",Nfkbie,,,,
1418745_at,1,13.2895658,NM_012050,Mm.139817,osteomodulin,Omd,,,,
1453435_a_at,1,13.00024061,AK009753,Mm.10929,flavin containing monooxygenase 2,Fmo2,,,,
1424713_at,1,12.81368664,AY061807,Mm.28623,calmodulin-like 4,Calml4,,,,
1424562_a_at,1,12.7693421,BC026925,Mm.16228,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4",Slc25a4,,,,
1416455_a_at,1,12.74287684,NM_009964,Mm.178,"crystallin, alpha B",Cryab,,,,
1436029_at,1,12.58990468,AW551930,Mm.374987,RIKEN cDNA 4930533K18 gene,4930533K18Rik,,,,
1417821_at,1,12.48846183,NM_033075,Mm.22506,"DNA segment, Chr 17, human D6S56E 5",D17H6S56E-5,,,,
1418773_at,1,12.41398301,BE652876,Mm.253875,fatty acid desaturase 3,Fads3,,,,
1434070_at,1,12.31849779,AV359819,Mm.22398,jagged 1,Jag1,,,,
1422804_at,1,12.30873401,NM_011454,Mm.36526,"serine (or cysteine) proteinase inhibitor, clade B, member 6b",Serpinb6b,,,,
1416808_at,1,12.20917129,X14480,Mm.4691,nidogen 1,Nid1,,,,
1416529_at,1,12.00834972,U25633,Mm.182785,epithelial membrane protein 1,Emp1,,,,
1436619_at,1,11.92943437,BG069496,Mm.26170,hypothetical gene supported by AK085605,LOC432777,,,,
1449254_at,1,11.50551211,NM_009263,Mm.288474,secreted phosphoprotein 1,Spp1,,,,
1419700_a_at,1,11.43753625,NM_008935,Mm.6250,prominin 1,Prom1,,,,
1438724_at,1,11.30580268,AI875442,Mm.44153,oxysterol binding protein-like 3,Osbpl3,,,,
1436879_x_at,1,11.29941101,AV124668,Mm.358570,alpha fetoprotein,Afp,,,,
1434465_x_at,1,11.242905,AV333363,Mm.4141,very low density lipoprotein receptor,Vldlr,,,,
1419663_at,1,11.23117994,BB542051,Mm.4258,osteoglycin,Ogn,,,,
1450830_a_at,1,10.84116557,NM_033614,Mm.196971,"phosphodiesterase 6C, cGMP specific, cone, alpha prime",Pde6c,,,,
1417900_a_at,1,10.77450934,NM_013703,Mm.4141,very low density lipoprotein receptor,Vldlr,,,,
1448269_a_at,1,10.74149079,NM_026167,Mm.224306,kelch-like 13 (Drosophila),Klhl13,,,,
1416242_at,1,10.37023016,NM_026167,Mm.224306,kelch-like 13 (Drosophila),Klhl13,,,,
1423805_at,1,10.20128094,BC006588,Mm.240830,disabled homolog 2 (Drosophila),Dab2,,,,
1428512_at,1,10.10924586,AK012577,Mm.18574,"basic helix-loop-helix domain containing, class B9",Bhlhb9,,,,
1419091_a_at,1,10.08844987,NM_007585,Mm.238343,annexin A2,Anxa2,,,,
1418293_at,1,9.837673799,NM_008332,Mm.2036,interferon-induced protein with tetratricopeptide repeats 2,Ifit2,,,,
1420498_a_at,1,9.563936856,NM_023118,Mm.240830,disabled homolog 2 (Drosophila),Dab2,,,,
1416779_at,1,9.394016664,BE197945,Mm.255909,serum deprivation response,Sdpr,,,,
1415935_at,1,9.370990291,NM_022315,Mm.30162,SPARC related modular calcium binding 2,Smoc2,,,,
1433674_a_at,1,9.292223577,BQ177137,Mm.292489,"RNA, U22 small nucleolar",Rnu22,,,,
1449773_s_at,1,9.287450502,AI323528,Mm.1360,growth arrest and DNA-damage-inducible 45 beta,Gadd45b,,,,
1415849_s_at,1,9.230104166,BC010581,Mm.271947,stathmin 1,Stmn1,,,,
1438211_s_at,1,9.20708454,BB550183,Mm.3459,D site albumin promoter binding protein,Dbp,,,,
1422905_s_at,1,9.194764094,NM_018881,Mm.10929,flavin containing monooxygenase 2,Fmo2,,,,
1433610_at,1,9.176662587,BB522283,Mm.268547,expressed sequence AA986860,AA986860,,,,
1418918_at,1,9.135059993,NM_008341,Mm.21300,insulin-like growth factor binding protein 1,Igfbp1,,,,
1424800_at,1,9.133399723,BQ044016,Mm.87759,enabled homolog (Drosophila),Enah,,,,
1435910_at,1,9.042678069,BM235658,Mm.253875,fatty acid desaturase 3,Fads3,,,,
1452124_at,1,9.024114332,BB628935,Mm.235960,"ankyrin 3, epithelial /// RIKEN cDNA 2900054D09 gene",Ank3 /// 2900054D09Rik,,,,
1443832_s_at,1,8.899650033,AV064339,Mm.255909,serum deprivation response,Sdpr,,,,
1434440_at,1,8.888228333,BQ174580,Mm.254629,"guanine nucleotide binding protein, alpha inhibiting 1",Gnai1,,,,
1449551_at,1,8.876748186,NM_008659,Mm.234502,myosin IC,Myo1c,,,,
1433744_at,1,8.80006641,BB180412,Mm.121498,expressed sequence AI841794,AI841794,,,,
1425476_at,1,8.730459087,BM250666,Mm.286892,"procollagen, type IV, alpha 5",Col4a5,,,,
1417133_at,1,8.707813559,NM_008885,Mm.1237,peripheral myelin protein,Pmp22,,,,
1439399_a_at,1,8.683545476,BB493265,Mm.292489,"RNA, U22 small nucleolar",Rnu22,,,,
1417689_a_at,1,8.372053946,BC013542,Mm.30181,PDZK1 interacting protein 1,Pdzk1ip1,,,,
1421040_a_at,1,8.276264712,NM_008182,Mm.371562,"glutathione S-transferase, alpha 2 (Yc2)",Gsta2,,,,
1419648_at,1,8.168307843,NM_008659,Mm.234502,myosin IC,Myo1c,,,,
1416039_x_at,1,8.132977166,NM_010516,Mm.1231,cysteine rich protein 61,Cyr61,,,,
1443921_at,1,8.101303221,BB496379,Mm.321371,RIKEN cDNA C130037N17 gene,C130037N17Rik,,,,
1428057_a_at,1,8.010955525,BC028439,Mm.203866,AHNAK nucleoprotein (desmoyokin),Ahnak,,,,
1419649_s_at,1,7.982081893,NM_008659,Mm.234502,myosin IC,Myo1c,,,,
1417356_at,1,7.980554142,AB003040,Mm.7952,paternally expressed 3,Peg3,,,,
1438133_a_at,1,7.881866097,BM202770,Mm.1231,cysteine rich protein 61,Cyr61,,,,
1434456_at,1,7.87077095,BG075955,Mm.332192,"gene model 440, (NCBI)",Gm440,,,,
1424596_s_at,1,7.811067886,BC019124,Mm.234441,LIM and cysteine-rich domains 1,Lmcd1,,,,
1460287_at,1,7.806424144,M93954,Mm.206505,tissue inhibitor of metalloproteinase 2,Timp2,,,,
1453511_at,1,7.801115434,AK009193,Mm.158766,RIKEN cDNA 2310007B03 gene,2310007B03Rik,,,,
1455144_s_at,1,7.747136097,BB079908,Mm.134338,expressed sequence AU040829,AU040829,,,,
1431362_a_at,1,7.735934419,AK006809,Mm.30162,SPARC related modular calcium binding 2,Smoc2,,,,
1426951_at,1,7.667326385,AK018666,Mm.311912,cysteine rich transmembrane BMP regulator 1 (chordin like),Crim1,,,,
1454677_at,1,7.635756458,BF168458,Mm.206505,tissue inhibitor of metalloproteinase 2,Timp2,,,,
1428333_at,1,7.62567138,AK013740,Mm.328305,RIKEN cDNA 6530401D17 gene,6530401D17Rik,,,,
1439377_x_at,1,7.619171982,BB041150,Mm.289747,cell division cycle 20 homolog (S. cerevisiae),Cdc20,,,,
1450779_at,1,7.528363016,NM_021272,Mm.3644,"fatty acid binding protein 7, brain",Fabp7,,,,
1448147_at,1,7.456236949,NM_013869,Mm.281356,"tumor necrosis factor receptor superfamily, member 19",Tnfrsf19,,,,
1451628_a_at,1,7.427797361,BC021657,Mm.235960,"ankyrin 3, epithelial",Ank3,,,,
1434273_at,1,7.360404887,BG073439,Mm.271969,RIKEN cDNA A830073O21 gene,A830073O21Rik,,,,
1417822_at,1,7.314267122,NM_033075,Mm.22506,"DNA segment, Chr 17, human D6S56E 5",D17H6S56E-5,,,,
1433651_at,1,7.293759453,BE136550,Mm.27482,WT1-interacting protein,Wtip,,,,
1437527_x_at,1,7.225448023,AV318494,Mm.1639,myeloid cell leukemia sequence 1,Mcl1,,,,
1449968_s_at,1,7.157162342,NM_022816,Mm.352763,"acyl-Coenzyme A thioesterase 2, mitochondrial /// acyl-Coenzyme A thioesterase 3, mitochondrial",MGI:1928939 /// MGI:1928940,,,,
1419157_at,1,7.058393126,AI428101,Mm.240627,SRY-box containing gene 4,Sox4,,,,
1416778_at,1,6.928509511,BE197945,Mm.255909,serum deprivation response,Sdpr,,,,
1423100_at,1,6.86021004,AV026617,Mm.246513,FBJ osteosarcoma oncogene,Fos,,,,
1421943_at,1,6.859493661,M92420,Mm.137222,transforming growth factor alpha,Tgfa,,,,
1428942_at,1,6.845242315,AA796766,Mm.147226,metallothionein 2,Mt2,,,,
1420965_a_at,1,6.831406022,BM120053,Mm.241073,ectodermal-neural cortex 1,Enc1,,,,
1425102_a_at,1,6.792275663,AB053181,Mm.13451,angiotensin I converting enzyme (peptidyl-dipeptidase A) 2,Ace2,,,,
1450850_at,1,6.745877844,BM119387,Mm.277812,villin 2,Vil2,,,,
1435064_a_at,1,6.73257111,AI314694,Mm.143766,transmembrane protein 27,Tmem27,,,,
1449219_at,1,6.702959449,BE652876,Mm.253875,fatty acid desaturase 3,Fads3,,,,
1424278_a_at,1,6.686484512,BC004702,Mm.8552,baculoviral IAP repeat-containing 5,Birc5,,,,
1434099_at,1,6.667484336,BB752393,Mm.377027,Transcribed locus,---,,,,
1426880_at,1,6.619089012,BM250266,Mm.237935,cDNA sequence BC026657,BC026657,,,,
1420621_a_at,1,6.572010345,NM_007471,Mm.277585,amyloid beta (A4) precursor protein,App,,,,
1428418_s_at,1,6.567079479,BE198251,Mm.332366,RIKEN cDNA 3110050N22 gene,3110050N22Rik,,,,
1445721_at,1,6.546604204,BB265715,Mm.241092,hypothetical protein A830021M18,A830021M18,,,,
1423413_at,1,6.544583716,AI987929,Mm.30837,N-myc downstream regulated gene 1,Ndrg1,,,,
1420479_a_at,1,6.509763932,BG064031,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1433670_at,1,6.498893665,BE571790,Mm.246009,epithelial membrane protein 2,Emp2,,,,
1442025_a_at,1,6.479245618,AI467657,---,---,---,,,,
1433508_at,1,6.461310593,AV025472,Mm.275036,Kruppel-like factor 6,Copeb,,,,
1416646_at,1,6.345097933,NM_007423,Mm.358570,alpha fetoprotein,Afp,,,,
1419073_at,1,6.342724861,NM_019790,Mm.245154,transmembrane protein with EGF-like and two follistatin-like domains 2,Tmeff2,,,,
1419764_at,1,6.297455149,NM_009892,Mm.4571,chitinase 3-like 3,Chi3l3,,,,
1424354_at,1,6.295873486,BC020080,Mm.248440,RIKEN cDNA 1110007F12 gene,1110007F12Rik,,,,
1447936_at,1,6.271387262,AA939619,Mm.270874,RIKEN cDNA 2410006H16 gene,2410006H16Rik,,,,
1419476_at,1,6.245433916,NM_021475,Mm.36742,"ADAM-like, decysin 1",Adamdec1,,,,
1441971_at,1,6.235221871,AW543723,Mm.25647,Transcribed locus,---,,,,
1442049_at,1,6.233143535,BM237750,Mm.37214,Transferrin,Trf,,,,
1419376_at,1,6.210334678,BC027250,Mm.291809,RIKEN cDNA 1110018M03 gene,1110018M03Rik,,,,
1433699_at,1,6.208755735,BM241351,Mm.116683,"tumor necrosis factor, alpha-induced protein 3",Tnfaip3,,,,
1434264_at,1,6.194184114,BQ174638,Mm.220242,"ankyrin 2, brain",Ank2,,,,
1419874_x_at,1,6.166897724,AA419994,Mm.354735,zinc finger and BTB domain containing 16,Zbtb16,,,,
1429227_x_at,1,6.158111482,AK007322,Mm.290407,nucleosome assembly protein 1-like 1,Nap1l1,,,,
1418073_at,1,6.147456399,NM_019736,Mm.268710,"acyl-Coenzyme A thioesterase 2, mitochondrial",MGI:1928939,,,,
1433675_at,1,6.138843032,BQ177137,Mm.292489,"RNA, U22 small nucleolar",Rnu22,,,,
1427889_at,1,6.09835836,AK011566,Mm.204969,spectrin alpha 2,Spna2,,,,
1426910_at,1,6.084273097,BB398886,---,---,---,,,,
1433662_s_at,1,6.049652196,BF168458,Mm.206505,tissue inhibitor of metalloproteinase 2,Timp2,,,,
1418572_x_at,1,6.048127484,NM_013749,Mm.28518,"tumor necrosis factor receptor superfamily, member 12a",Tnfrsf12a,,,,
1416321_s_at,1,6.033011697,NM_054077,Mm.214514,proline arginine-rich end leucine-rich repeat,Prelp,,,,
1416776_at,1,6.024852695,NM_016669,Mm.9114,"crystallin, mu",Crym,,,,
1431897_at,1,6.021575335,AK017407,Mm.329304,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9,Chst9,,,,
1453707_at,1,6.007392796,AK015599,Mm.159388,RIKEN cDNA 4930480G23 gene,4930480G23Rik,,,,
1432088_at,1,5.991457337,AK013398,Mm.374827,ventricular zone expressed PH domain homolog 1 (zebrafish),Veph1,,,,
1425272_at,1,5.966214095,AF083876,Mm.246009,epithelial membrane protein 2,Emp2,,,,
1417777_at,1,5.916211248,BC014865,Mm.34497,leukotriene B4 12-hydroxydehydrogenase,Ltb4dh,,,,
1431056_a_at,1,5.893161895,AK017272,Mm.1514,lipoprotein lipase,Lpl,,,,
1421344_a_at,1,5.887929799,NM_010590,Mm.100253,ajuba,Jub,,,,
1448469_at,1,5.874035396,X14480,Mm.4691,nidogen 1,Nid1,,,,
